@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute features-1 numeric
@attribute features-2 numeric
@attribute features-3 numeric
@attribute features-4 numeric
@attribute features-5 numeric
@attribute features-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
2274,'2025/11/27 11:08:42:630',23,8.31314,0.324692,56.018055,0.007652,0.479688,0.236111,1,0.2,0.5,0.2
2275,'2025/11/27 11:08:42:655',23,8.31314,0.324692,56.018055,0.007652,0.479688,0.236111,1,0.2,0.5,0.2
2276,'2025/11/27 11:08:42:678',23,8.31314,0.324692,56.018055,0.007652,0.479688,0.236111,1,0.2,0.5,0.2
2277,'2025/11/27 11:08:42:884',23,8.354637,0.323524,56.76825,0.041497,0.484375,0.25,1,0.2,0.5,0.2
2278,'2025/11/27 11:08:42:908',23,8.354637,0.323524,56.76825,0.041497,0.484375,0.25,1,0.2,0.5,0.2
2279,'2025/11/27 11:08:42:923',23,8.354637,0.323524,56.76825,0.041497,0.484375,0.25,1,0.2,0.5,0.2
2280,'2025/11/27 11:08:43:101',23,8.41948,0.324592,57.400864,0.064843,0.485938,0.25,1,0.2,0.5,0.2
2281,'2025/11/27 11:08:43:115',23,8.41948,0.324592,57.400864,0.064843,0.485938,0.25,1,0.2,0.5,0.2
2282,'2025/11/27 11:08:43:130',23,8.41948,0.324592,57.400864,0.064843,0.485938,0.25,1,0.2,0.5,0.2
2283,'2025/11/27 11:08:43:304',23,8.464169,0.325152,58.277538,0.044688,0.478125,0.236111,1,0.2,0.5,0.2
2284,'2025/11/27 11:08:43:316',23,8.464169,0.325152,58.277538,0.044688,0.478125,0.236111,1,0.2,0.5,0.2
2285,'2025/11/27 11:08:43:332',23,8.464169,0.325152,58.277538,0.044688,0.478125,0.236111,1,0.2,0.5,0.2
2286,'2025/11/27 11:08:43:508',23,8.431407,0.331793,58.013977,0.032762,0.479688,0.241667,1,0.2,0.5,0.2
2287,'2025/11/27 11:08:43:524',23,8.431407,0.331793,58.013977,0.032762,0.479688,0.241667,1,0.2,0.5,0.2
2288,'2025/11/27 11:08:43:551',23,8.431407,0.331793,58.013977,0.032762,0.479688,0.241667,1,0.2,0.5,0.2
2289,'2025/11/27 11:08:43:728',23,8.359394,0.324479,57.103168,0.072013,0.478125,0.233333,1,0.2,0.5,0.2
2290,'2025/11/27 11:08:43:743',23,8.359394,0.324479,57.103168,0.072013,0.478125,0.233333,1,0.2,0.5,0.2
2291,'2025/11/27 11:08:43:765',23,8.359394,0.324479,57.103168,0.072013,0.478125,0.233333,1,0.2,0.5,0.2
2292,'2025/11/27 11:08:43:957',23,8.308551,0.329779,56.296108,0.050843,0.485938,0.255556,1,0.2,0.5,0.2
2293,'2025/11/27 11:08:43:976',23,8.308551,0.329779,56.296108,0.050843,0.485938,0.255556,1,0.2,0.5,0.2
2294,'2025/11/27 11:08:43:990',23,8.308551,0.329779,56.296108,0.050843,0.485938,0.255556,1,0.2,0.5,0.2
2295,'2025/11/27 11:08:44:167',23,8.332868,0.325126,57.192039,0.024317,0.484375,0.25,1,0.2,0.5,0.2
2296,'2025/11/27 11:08:44:181',23,8.332868,0.325126,57.192039,0.024317,0.484375,0.25,1,0.2,0.5,0.2
2297,'2025/11/27 11:08:44:198',23,8.332868,0.325126,57.192039,0.024317,0.484375,0.25,1,0.2,0.5,0.2
2298,'2025/11/27 11:08:44:370',23,8.349964,0.331953,56.321354,0.017097,0.48125,0.252778,1,0.2,0.5,0.2
2299,'2025/11/27 11:08:44:382',23,8.349964,0.331953,56.321354,0.017097,0.48125,0.252778,1,0.2,0.5,0.2
2300,'2025/11/27 11:08:44:397',23,8.349964,0.331953,56.321354,0.017097,0.48125,0.252778,1,0.2,0.5,0.2
2301,'2025/11/27 11:08:44:574',23,8.500625,0.329136,58.468876,0.150661,0.478125,0.252778,1,0.2,0.5,0.2
2302,'2025/11/27 11:08:44:584',23,8.500625,0.329136,58.468876,0.150661,0.478125,0.252778,1,0.2,0.5,0.2
2303,'2025/11/27 11:08:44:600',23,8.500625,0.329136,58.468876,0.150661,0.478125,0.252778,1,0.2,0.5,0.2
2304,'2025/11/27 11:08:44:776',23,8.516305,0.333715,58.919144,0.01568,0.476563,0.236111,1,0.2,0.5,0.2
2305,'2025/11/27 11:08:44:789',23,8.516305,0.333715,58.919144,0.01568,0.476563,0.236111,1,0.2,0.5,0.2
2306,'2025/11/27 11:08:44:805',23,8.516305,0.333715,58.919144,0.01568,0.476563,0.236111,1,0.2,0.5,0.2
2307,'2025/11/27 11:08:44:977',23,8.554678,0.324983,59.562637,0.038373,0.476563,0.236111,1,0.2,0.5,0.2
2308,'2025/11/27 11:08:44:990',23,8.554678,0.324983,59.562637,0.038373,0.476563,0.236111,1,0.2,0.5,0.2
2309,'2025/11/27 11:08:45:001',23,8.554678,0.324983,59.562637,0.038373,0.476563,0.236111,1,0.2,0.5,0.2
2310,'2025/11/27 11:08:45:178',23,8.488481,0.325312,59.242023,0.066197,0.473437,0.236111,1,0.2,0.5,0.2
2311,'2025/11/27 11:08:45:193',23,8.488481,0.325312,59.242023,0.066197,0.473437,0.236111,1,0.2,0.5,0.2
2312,'2025/11/27 11:08:45:209',23,8.488481,0.325312,59.242023,0.066197,0.473437,0.236111,1,0.2,0.5,0.2
2313,'2025/11/27 11:08:45:381',23,8.500441,0.326094,59.076519,0.01196,0.471875,0.233333,1,0.2,0.5,0.2
2314,'2025/11/27 11:08:45:395',23,8.500441,0.326094,59.076519,0.01196,0.471875,0.233333,1,0.2,0.5,0.2
2315,'2025/11/27 11:08:45:410',23,8.500441,0.326094,59.076519,0.01196,0.471875,0.233333,1,0.2,0.5,0.2
2316,'2025/11/27 11:08:45:585',23,8.485776,0.327318,58.294525,0.014665,0.475,0.236111,1,0.2,0.5,0.2
2317,'2025/11/27 11:08:45:598',23,8.485776,0.327318,58.294525,0.014665,0.475,0.236111,1,0.2,0.5,0.2
2318,'2025/11/27 11:08:45:613',23,8.485776,0.327318,58.294525,0.014665,0.475,0.236111,1,0.2,0.5,0.2
2319,'2025/11/27 11:08:45:789',23,8.421372,0.327153,58.271519,0.064404,0.475,0.244444,1,0.2,0.5,0.2
2320,'2025/11/27 11:08:45:801',23,8.421372,0.327153,58.271519,0.064404,0.475,0.244444,1,0.2,0.5,0.2
2321,'2025/11/27 11:08:45:817',23,8.421372,0.327153,58.271519,0.064404,0.475,0.244444,1,0.2,0.5,0.2
2322,'2025/11/27 11:08:45:991',23,8.378857,0.336979,57.097019,0.042516,0.48125,0.252778,1,0.2,0.5,0.2
2323,'2025/11/27 11:08:46:006',23,8.378857,0.336979,57.097019,0.042516,0.48125,0.252778,1,0.2,0.5,0.2
2324,'2025/11/27 11:08:46:022',23,8.378857,0.336979,57.097019,0.042516,0.48125,0.252778,1,0.2,0.5,0.2
2325,'2025/11/27 11:08:46:197',23,8.31582,0.330651,55.934235,0.063037,0.479688,0.241667,1,0.2,0.5,0.2
2326,'2025/11/27 11:08:46:213',23,8.31582,0.330651,55.934235,0.063037,0.479688,0.241667,1,0.2,0.5,0.2
2327,'2025/11/27 11:08:46:228',23,8.31582,0.330651,55.934235,0.063037,0.479688,0.241667,1,0.2,0.5,0.2
2328,'2025/11/27 11:08:46:404',23,8.262326,0.338494,55.193058,0.053493,0.484375,0.261111,1,0.2,0.5,0.2
2329,'2025/11/27 11:08:46:429',23,8.262326,0.338494,55.193058,0.053493,0.484375,0.261111,1,0.2,0.5,0.2
2330,'2025/11/27 11:08:46:444',23,8.262326,0.338494,55.193058,0.053493,0.484375,0.261111,1,0.2,0.5,0.2
2331,'2025/11/27 11:08:46:617',23,8.256613,0.322973,55.057362,0.005713,0.484375,0.255556,1,0.2,0.5,0.2
2332,'2025/11/27 11:08:46:632',23,8.256613,0.322973,55.057362,0.005713,0.484375,0.255556,1,0.2,0.5,0.2
2333,'2025/11/27 11:08:46:646',23,8.256613,0.322973,55.057362,0.005713,0.484375,0.255556,1,0.2,0.5,0.2
2334,'2025/11/27 11:08:46:822',23,8.27569,0.329661,55.149296,0.019077,0.479688,0.238889,1,0.2,0.5,0.2
2335,'2025/11/27 11:08:46:835',23,8.27569,0.329661,55.149296,0.019077,0.479688,0.238889,1,0.2,0.5,0.2
2336,'2025/11/27 11:08:46:851',23,8.27569,0.329661,55.149296,0.019077,0.479688,0.238889,1,0.2,0.5,0.2
2337,'2025/11/27 11:08:47:023',23,8.254494,0.332309,54.883026,0.021196,0.485938,0.255556,1,0.2,0.5,0.2
2338,'2025/11/27 11:08:47:038',23,8.254494,0.332309,54.883026,0.021196,0.485938,0.255556,1,0.2,0.5,0.2
2339,'2025/11/27 11:08:47:054',23,8.254494,0.332309,54.883026,0.021196,0.485938,0.255556,1,0.2,0.5,0.2
2340,'2025/11/27 11:09:36:425',24,4.582742,0.120317,11.451477,0.029643,0.592188,0.997222,1,0.2,0.6,1
2341,'2025/11/27 11:09:36:437',24,4.582742,0.120317,11.451477,0.029643,0.592188,0.997222,1,0.2,0.6,1
2342,'2025/11/27 11:09:36:453',24,4.582742,0.120317,11.451477,0.029643,0.592188,0.997222,1,0.2,0.6,1
2343,'2025/11/27 11:09:36:626',24,4.563438,0.119644,11.973492,0.019304,0.59375,0.997222,1,0.2,0.6,1
2344,'2025/11/27 11:09:36:641',24,4.563438,0.119644,11.973492,0.019304,0.59375,0.997222,1,0.2,0.6,1
2345,'2025/11/27 11:09:36:656',24,4.563438,0.119644,11.973492,0.019304,0.59375,0.997222,1,0.2,0.6,1
2346,'2025/11/27 11:09:36:830',24,4.550401,0.118568,12.247725,0.013037,0.59375,0.997222,1,0.2,0.6,1
2347,'2025/11/27 11:09:36:855',24,4.550401,0.118568,12.247725,0.013037,0.59375,0.997222,1,0.2,0.6,1
2348,'2025/11/27 11:09:36:886',24,4.550401,0.118568,12.247725,0.013037,0.59375,0.997222,1,0.2,0.6,1
